"","V1","V2"
"1506","Cadum body soap","1"
"1507","Audiopro sound system with Bluetooth and aux","1"
"1508","Edifier sound system with Bluetooth and aux","1"
"1509","Tresemme body soap","1"
"1510","Walita oven","3"
"1511","DAMANA body soap","1"
"1512","pantene shampoo","2"
"1513","rainbow  Bluetooth sound system","1"
"1514","KIRKLAND refrigerator","1"
"1515","Shared outdoor heated olympicsized pool","1"
"1516","VESTEL refrigerator","1"
"1517","Ines de la Fressange body soap","1"
"1518","Ines de la Fressange conditioner","2"
"1519","Ines de La Fressange  body soap","1"
"1520","national shampoo","1"
"1521","ADA COSMETICS body soap","2"
"1522","Paid parking garage off premises u2013 EUR27 per day","2"
"1523","Mugler body soap","1"
"1524","wella conditioner","1"
"1525","vocina sound system with Bluetooth and aux","1"
"1526","hear and shoulder shampoo","1"
"1527","Ines de La Fressange conditioner","2"
"1528","Ines de La Fressange body soap","2"
"1529","Paid parking lot on premises u2013 MXN60 per day 1 space","1"
"1530","BUKLET body soap","1"
"1531","Fisher  Paykel gas stove","1"
"1532","Fisher  Paykel oven","1"
"1533","Muxima Guest House shampoo","1"
"1534","TOSHIBA refrigerator","1"
"1535","A la reception refrigerator","1"
"1536","Omnisens conditioner","1"
"1537","Omnisens body soap","1"
"1538","variada conditioner","1"
"1539","por wifi Bluetooth sound system","1"
"1540","variada body soap","1"
"1541","fait maison au karitu00e9 body soap","1"
"1542","Free driveway parking on premises u2013 7 spaces","1"
"1543","TV with Chromecast Netflix","3"
"1544","Keiji body soap","1"
"1545","A la ru00e9ception refrigerator","1"
"1546","Lu00b4Occitane  conditioner","1"
"1547","Lu00b4Occitane  body soap","1"
"1548","Childrenu2019s books and toys for ages 02 years old","3"
"1549","Propia body soap","6"
"1550","Paid parking lot on premises u2013 MXN80 per day 10 spaces","1"
"1551","Fructis conditioner","1"
"1552","TV with Netflix premium cable standard cable","1"
"1553","Shared outdoor heated infinity pool","1"
"1554","HDTV with Amazon Prime Video Netflix premium cable","1"
"1555","TV with Amazon Prime Video Netflix","2"
"1556","Organic body soap","1"
"1557","Paid parking lot on premises u2013 AUD5 per day 1 space","1"
"1558","Paid parking garage off premises u2013 EUR30 per day","3"
"1559","Lu2019Occitane en Provence conditioner","1"
"1560","Lu2019Occitane en Provence body soap","1"
"1561","Lu2019Occitane en Provence shampoo","1"
"1562","Wifi u2013 27 Mbps","1"
"1563","Childrenu2019s books and toys for ages 25 years old 510 years old and 10 years old","3"
"1564","Duru body soap","1"
"1565","Anker Bluetooth sound system","1"
"1566","Lu00d3ccitane conditioner","1"
"1567","Lu00f3ccitane body soap","1"
"1568","HDTV with Amazon Prime Video Apple TV HBO Max Chromecast Netflix premium cable","1"
"1569","dial body soap","1"
"1570","samsung stainless steel gas stove","1"
"1571","Pantein shampoo","1"
"1572","Pantein body soap","1"
"1573","Paid street parking off premises u2013 AUD5 per hour","4"
"1574","Indel Marine Isotherm refrigerator","1"
"1575","Kenwood sound system","1"
"1576","Gg gas stove","1"
"1577","Paid parking lot off premises u2013 MXN200 per day","1"
"1578","Localizado no 3u00ba andar no edu00edficio em frente com elevador refrigerator","1"
"1579","Dove Blendax Gliss Clear Man body soap","1"
"1580","Produit BIO body soap","1"
"1581","propia body soap","1"
"1582","Clothing storage closet dresser walkin closet and wardrobe","1"
"1583","Paid parking lot on premises u2013 BRL60 per day 1 space","2"
"1584","Head Shoulders shampoo","1"
"1585","otel markasu0131 shampoo","3"
"1586","otel markasu0131 body soap","4"
"1587","Wifi u2013 75 Mbps","6"
"1588","INDUSTRIAL stainless steel gas stove","1"
"1589","aru00e7elik oven","2"
"1590","Paid washer","4"
"1591","Paid street parking off premises u2013 EUR10 per day","3"
"1592","franke refrigerator","1"
"1593","Mabe oven","5"
"1594","whirllpool stainless steel electric stove","1"
"1595","MK conditioner","4"
"1596","Paid parking garage on premises u2013 ZAR75 per day 2 spaces","1"
"1597","Free parking garage on premises u2013 100 spaces","1"
"1598","Denon Bluetooth sound system","2"
"1599","Grisi body soap","2"
"1600","Ricitos de oro body soap","1"
"1601","Paid parking lot off premises u2013 MXN120 per day","1"
"1602","Ricitos de oro shampoo","1"
"1603","Platinum induction stove","1"
"1604","per manivisodoccia body soap","1"
"1605","Induction plate induction stove","1"
"1606","GBC Bluetooth sound system","1"
"1607","roku tv Bluetooth sound system","1"
"1608","Paid parking garage on premises u2013 AUD49 per stay 1 space","1"
"1609","Game console Nintendo Switch and PS4","1"
"1610","ABC body soap","1"
"1611"," conditioner","1"
"1612","Free parking garage on premises u2013 25 spaces","1"
"1613","AESOP body soap","3"
"1614","AESOP conditioner","3"
"1615","bosh refrigerator","1"
"1616","pantene body soap","2"
"1617","pantene conditioner","3"
"1618","LOCCITANE conditioner","2"
"1619","LOCCITANE shampoo","2"
"1620","LOCCITANE body soap","2"
"1621","Panthene conditioner","2"
"1622","PRIJA body soap","2"
"1623","Mabe Capacity 93L refrigerator","1"
"1624","Liquid body soap","1"
"1625","Kelvinator refrigerator","2"
"1626","IKEA induction stove","1"
"1627","Xampu shampoo","1"
"1628","Sabonete body soap","1"
"1629","Hisense 92L refrigerator","1"
"1630","Wifi u2013 48 Mbps","2"
"1631","Free driveway parking on premises u2013 5 spaces","2"
"1632","miele stainless steel gas stove","1"
"1633","Shampoo corporal body soap","1"
"1634","HDTV with premium cable Chromecast standard cable","1"
"1635","Undercounter fridge refrigerator","1"
"1636","FAURE induction stove","1"
"1637","Produits John Frieda Yves Rocher lOru00e9al conditioner","1"
"1638","Produits John Frieda Yves Rocher lOru00e9al shampoo","1"
"1639","DE DIETRICH Four u00e0 chaleur tournante oven","1"
"1640","Savon bio body soap","1"
"1641","Thomson avec partie congu00e9lateur refrigerator","1"
"1642","Dedicated workspace office chair table monitor and desk","1"
"1643","HDTV with premium cable Chromecast","2"
"1644","Silverline stainless steel oven","1"
"1645","Paid parking lot off premises u2013 MXN40 per hour","1"
"1646","Bosch gas stove","3"
"1647","LOccitane conditioner","6"
"1648","mini oven electric stove","1"
"1649","mini oven oven","1"
"1650","Paid parking lot on premises u2013 3 spaces","2"
"1651","102","1"
"1652","LOccitane shampoo","3"
"1653","Broadway branded shampoo","1"
"1654","Free driveway parking on premises u2013 12 spaces","1"
"1655","L Occitane body soap","1"
"1656","Fisher and paykel refrigerator","1"
"1657","Wifi u2013 1 Mbps","3"
"1658","WHIRLPOOL gas stove","1"
"1659","WHIRLPOOL refrigerator","2"
"1660","WHIRLPOOL oven","1"
"1661","smeg refrigerator","1"
"1662","arzum oven","1"
"1663","Westinghouse 370ltr refrigerator","1"
"1664","Paid street parking off premises u2013 BRL2 per day","2"
"1665","ORGANIC conditioner","1"
"1666","Organic shampoo","2"
"1667","Rooftop","3"
"1668","Sunlight body soap","1"
"1669","Mellerware stainless steel electric stove","1"
"1670","Paid parking lot on premises u2013 EUR10 per day 5 spaces","1"
"1671","Paid parking lot off premises u2013 TRY35 per day","1"
"1672","Yemek piu015firmek iu00e7in Arzum marka 50 Litre fu0131ru0131n stainless steel oven","1"
"1673","Ayru0131ca iki artu0131 bir ses sistemi sound system with Bluetooth and aux","1"
"1674","La Diva Exclusive body soap","1"
"1675","Paid parking lot on premises u2013 TRY25 per day 10 spaces","3"
"1676","Wifi u2013 125 Mbps","4"
"1677","TV with premium cable Apple TV","1"
"1678","aru00e7elik  refrigerator","1"
"1679","02 Bocas electric stove","2"
"1680","hotel body soap","1"
"1681","Hotel conditioner","2"
"1682","Sukin shampoo","6"
"1683","Westinghouse stainless steel gas stove","2"
"1684","Dr Bronners Castile Soap body soap","2"
"1685","Bose bluetooth speaker Bluetooth sound system","1"
"1686","Paid parking garage off premises u2013 MXN200 per day","1"
"1687","Alexa sound system with Bluetooth and aux","3"
"1688","Paid parking lot off premises u2013 7 per day","1"
"1689","MITSUBISHI refrigerator","1"
"1690","MITSUBISI refrigerator","1"
"1691","Marley Bluetooth sound system","2"
"1692","SM body soap","6"
"1693","Clothing storage dresser closet wardrobe and walkin closet","2"
"1694","rebul conditioner","2"
"1695","rebul body soap","2"
"1696","sm body soap","1"
"1697","BOSCH refrigerator","4"
"1698","aro conditioner","1"
"1699","Glow Lab conditioner","1"
"1700","General Bluetooth sound system","1"
"1701","Glow Lab body soap","1"
"1702","regal refrigerator","1"
"1703","Free carport on premises u2013 25 spaces","1"
"1704","Moonhaven body soap","2"
"1705","Larisse shampoo","2"
"1706","Larisse conditioner","2"
"1707","Sony CD Radio USB player sound system","1"
"1708","electric stainless steel oven","1"
"1709","Alexa  Bluetooth sound system","1"
"1710","hotelin markasu0131 conditioner","1"
"1711","hotelin markasu0131 shampoo","1"
"1712","Electric oven oven","2"
"1713","our product shampoo","1"
"1714","LG Stove stainless steel electric stove","1"
"1715","Kenmore refrigerator","3"
"1716","Dial Oatmeal  Coconut brands body soap","1"
"1717","Paid parking garage off premises u2013 48 per day","2"
"1718","Paid parking garage off premises u2013 45 per day","1"
"1719","Paid parking garage off premises u2013 50 per day","2"
"1720","INDUSTRIAL refrigerator","5"
"1721","LOFRA stainless steel gas stove","5"
"1722","LOFRA stainless steel oven","5"
"1723","Elseve shampoo","1"
"1724","Care conditioner","1"
"1725","Care body soap","1"
"1726","MAC Bluetooth sound system","1"
"1727","Neutro Balance body soap","1"
"1728","Wifi u2013 55 Mbps","1"
"1729","buklet shampoo","1"
"1730","buklet body soap","1"
"1731","LA VIE EN VERT body soap","1"
"1732","LA VIE EN VERT conditioner","1"
"1733","JVC Soundbar sound system with Bluetooth and aux","1"
"1734","keep care body soap","1"
"1735","LaBottega shampoo","3"
"1736","LaBottega body soap","3"
"1737","Koblenz stainless steel electric stove","6"
"1738","Head  Shoulder shampoo","1"
"1739","BodyWash body soap","1"
"1740","Jabon Neutro o jabon humectante body soap","1"
"1741","bar of soap body soap","1"
"1742","Garnier Fructis conditioner","3"
"1743","Palmolive Milk and Honey body soap","1"
"1744","5 burner induction cooktop stove","1"
"1745","Head and Shoulder 2 in 1 shampoo","1"
"1746","Tommy Bahama conditioner","3"
"1747","Tommy Bahama shampoo","3"
"1748","Its a hot plate stove","1"
"1749","Lirio body soap","1"
"1750","Pert conditioner","1"
"1751","Sony sound system with aux","3"
"1752","varies  body soap","1"
"1753","varies  conditioner","1"
"1754","Paid parking garage off premises u2013 65 per day","1"
"1755","DS  Durga conditioner","1"
"1756","DS  Durga body soap","1"
"1757","Wifi u2013 56 Mbps","1"
"1758","REBUL conditioner","1"
"1759","REBUL body soap","1"
"1760","REBUL shampoo","1"
"1761","rebul shampoo","1"
"1762","Bose Revolve  Bluetooth sound system","1"
"1763","Hitachi refrigerator","6"
"1764","Aro conditioner","3"
"1765","Mex stainless steel electric stove","1"
"1766","Savonnettes body soap","1"
"1767","Paid valet parking on premises u2013 TRY50 per day 10 spaces","1"
"1768","107","2"
"1769","Ultimate Ears Bluetooth Speaker sound system","1"
"1770","Grundig stainless steel oven","5"
"1771","Free driveway parking on premises u2013 10 spaces","4"
"1772","consul gas stove","1"
"1773","Fisher Paykel stainless steel induction stove","1"
"1774","Fisher Paykel refrigerator","1"
"1775","Better Earth shampoo","1"
"1776","sabonete em barra normalmente a marca Lux body soap","1"
"1777","Free driveway parking on premises u2013 6 spaces","3"
"1778","small  refrigerator","1"
"1779","bio ( organic )  body soap","1"
"1780","Ritual body soap","1"
"1781","35 canais de ru00e1dio e mu00fasica na TV a cabo  sound system","1"
"1782","sabonete lu00edquido PROTEX body soap","1"
"1783","Consul 240 litros refrigerator","1"
"1784","Fischer Cooktop 2 bocas gas stove","1"
"1785","Boots body soap","1"
"1786","Boots conditioner","2"
"1787","Boots shampoo","3"
"1788","Microwaveconvection oven","1"
"1789","4 burner stainless steel gas stove","1"
"1790","organics shampoo","1"
"1791","dove conditioner","5"
"1792","kalvinator gas stove","1"
"1793","Mane n Tail shampoo","1"
"1794","Manen Tail conditioner","1"
"1795","Pears body soap","1"
"1796","HDTV with Netflix Chromecast standard cable premium cable","2"
"1797","Diversas body soap","2"
"1798","HDTV with Chromecast standard cable Netflix","2"
"1799","HDTV with Chromecast Netflix standard cable","6"
"1800","Shared outdoor infinity saltwater pool","3"
"1801","Nubian Heritage Black Soap body soap","1"
"1802","Counter Top oven oven","1"
"1803","Bar Fridge Under counter refrigerator","1"
"1804","GlycoLemon most of the time It changes shampoo","1"
"1805","eletrolux stainless steel gas stove","2"
"1806","eletrolux frost free refrigerator","1"
"1807","Dr Bronner All in one  shampoo","1"
"1808","Dr Bronner All in one body soap","1"
"1809","Hot induction plate electric stove","1"
"1810","Roku Bluetooth sound system","1"
"1811","Dove Irish Spring Johnsons shampoo","2"
"1812","Bar Fridge refrigerator","1"
"1813","no frills brand body soap","1"
"1814","bosh oven","1"
"1815","Due ripiani  refrigerator","1"
"1816","Protect body soap","1"
"1817","HDTV with Netflix standard cable Chromecast","3"
"1818","Sam Sung refrigerator","1"
"1819","neutral shampoo","1"
"1820","neutral body soap","1"
"1821","Ignis refrigerator","1"
"1822","Defy  Hob stainless steel gas stove","1"
"1823","Sulphur free conditioner","1"
"1824","kalyan Natural cleansing Bar body soap","1"
"1825","Two plate electric stove electric stove","1"
"1826","Natural soap body soap","1"
"1827","Shared outdoor heated pool","5"
"1828","electrica stainless steel electric stove","1"
"1829","Neutro palmolive body soap","1"
"1830","bluetooth  speaker Bluetooth sound system","1"
"1831","Brastemp electric stove","2"
"1832","Ikea oven microwave combo stainless steel oven","1"
"1833","Natural conditioner","1"
"1834","AirFryer oven","1"
"1835","Consul stainless steel oven","8"
"1836","sunsilk conditioner","1"
"1837","TTAIO Esponjabu00f3n body soap","1"
"1838","assorted body soap","1"
"1839","Organic Care conditioner","2"
"1840","Dayton Audio Bluetooth sound system","1"
"1841","2 DoorCompact under bench size refrigerator","1"
"1842","WOOLWORTHS body soap","1"
"1843","BOSE SOUNDTOUCH 20 Bluetooth sound system","1"
"1844","41","4"
"1845","Wifi u2013 67 Mbps","1"
"1846","Haier refrigerator","2"
"1847","enviro care body wash silicone free  body soap","1"
"1848","envirocare shampoo body wash and conditioner silicone free  shampoo","1"
"1849","enviro care shampoo  body wash and conditioner silicone free  conditioner","1"
"1850","HDTV with standard cable premium cable","1"
"1851","defy small fridge refrigerator","1"
"1852","HDTV with Netflix HBO Max","1"
"1853","Shared heated pool","3"
"1854","Paid parking lot on premises u2013 BRL70 per day 1 space","2"
"1855","Hamilton beach induction stove","1"
"1856","SIEMENS stainless steel oven","2"
"1857","SIEMENS  stainless steel gas stove","1"
"1858","smeg stainless steel stove","2"
"1859","Micro ondas oven","1"
"1860","neutro  shampoo","2"
"1861","neutro  body soap","2"
"1862","HDTV with Netflix HBO Max Chromecast Amazon Prime Video","1"
"1863","Nu00e3o hu00e1 reposiu00e7u00e3o shampoo","2"
"1864","Nu00e3o hu00e1 reposiu00e7u00e3o body soap","2"
"1865","Nu00e3o hu00e1 reposiu00e7u00e3o conditioner","2"
"1866","Organics  conditioner","2"
"1867","Hospitality products from Linon body soap","2"
"1868","Shampoo Conditioner conditioner","1"
"1869","Lux and Organics body soap","1"
"1870","multiple hotelsize trials of highend brands body soap","1"
"1871","Bang  Olufson sound system","1"
"1872","multiple hotelsize trials of highend brands conditioner","1"
"1873","PHILLIPS Bluetooth sound system","1"
"1874","Hotpoint refrigerator","1"
"1875","Electrolux electric stove","1"
"1876","ELECTROLUX refrigerator","3"
"1877","Westinghouse gas stove","1"
"1878","Sonos (Beam  Sub) Bluetooth sound system","1"
"1879","26","1"
"1880","Shared refrigerator  freezer refrigerator","1"
"1881","Paid valet parking on premises u2013 1 space","4"
"1882","ok refrigerator","1"
"1883","Paid parking garage off premises u2013 EUR16 per day","1"
"1884","116","1"
"1885","Generic Vegan body soap","1"
"1886","Generic Vegan shampoo","1"
"1887","Generic Vegan conditioner","1"
"1888","Sauter stainless steel oven","1"
"1889"," body soap","1"
"1890","Complimentary water provided refrigerator","1"
"1891","Blomberg refrigerator","2"
"1892","Paid parking garage off premises u2013 BRL50 per day","1"
"1893","Dove ou Nivea body soap","1"
"1894","Natura body soap","2"
"1895","TV with Amazon Prime Video Apple TV","1"
"1896","convecciu00f3n stainless steel oven","1"
"1897","Margules bose sound system with Bluetooth and aux","1"
"1898","Protex body soap","5"
"1899","Paid street parking off premises u2013 BRL2 per hour","1"
"1900","Dedicated workspace office chair desk monitor and table","4"
"1901","Ariston stainless steel oven","2"
"1902","Cabasse sound system with aux","1"
"1903","105","1"
"1904","whirlpool stainless steel gas stove","1"
"1905","Wifi u2013 950 Mbps","1"
"1906","Paid parking garage off premises u2013 30 per day","3"
"1907","Hotel shampoo","1"
"1908","Hotel body soap","1"
"1909","GE stove","2"
"1910","GE oven","2"
"1911","Yamaha sound system with Bluetooth and aux","3"
"1912","seda shampoo","1"
"1913","Consul duo uma porta com geladeira e freezer integrados refrigerator","1"
"1914","jbl sound system with Bluetooth and aux","1"
"1915","137","1"
"1916","mekappa stainless steel oven","1"
"1917","general elektrik refrigerator","2"
"1918","Paid parking garage off premises u2013 4 per day","2"
"1919","General Elektric refrigerator","1"
"1920","Mekappa stainless steel oven","1"
"1921","Durupalmolive body soap","1"
"1922","TV with premium cable Netflix","1"
"1923","Game console PS4 and Xbox One","1"
"1924","Paid parking lot on premises u2013 5 spaces","2"
"1925","A partager refrigerator","2"
"1926","Aru00e7elik  refrigerator","1"
"1927","variadas conditioner","2"
"1928","variadas body soap","2"
"1929","Power Airfryer 360 stainless steel oven","1"
"1930","Irish Spring body soap","1"
"1931","Wifi u2013 870 Mbps","1"
"1932","vu00e1riadas body soap","1"
"1933","variadas shampoo","1"
"1934","jbl go2 Bluetooth sound system","1"
"1935","Function of Beauty conditioner","1"
"1936","Function of Beauty shampoo","1"
"1937","headandshoulder shampoo","1"
"1938","loreal conditioner","2"
"1939","HDTV with Roku Netflix","1"
"1940","Toaster oven oven","1"
"1941","12","1"
"1942","Neutrogena Body Wash body soap","1"
"1943","Builtin sound system in the apartment sound system","1"
"1944","Clothing storage wardrobe walkin closet closet and dresser","1"
"1945","inside the room and in the living room refrigerator","1"
"1946","natural liquid body wash body soap","1"
"1947","HDTV with standard cable Chromecast","1"
"1948","Frigidaire oven","1"
"1949","Across stainless steel gas stove","1"
"1950","Sony bluetooth speaker in kitchen and massive speakers next to DJ equipment sound system with Bluetooth and aux","1"
"1951","110","1"
"1952","TRESemmu00e9 shampoo","1"
"1953","Creative sound system with Bluetooth and aux","1"
"1954","Argan oil of Morocco conditioner","1"
"1955","Oster  stainless steel oven","1"
"1956","u00c1rgan oil of Morocco shampoo","1"
"1957","Leibherr refrigerator","2"
"1958","Smeg stainless steel induction stove","2"
"1959","Childrenu2019s books and toys for ages 25 years old and 510 years old","3"
"1960","Midea Induction single hotplate induction stove","1"
"1961","smeg oven","1"
"1962","Sonos via wifi sound system","1"
"1963","TV with Netflix Amazon Prime Video HBO Max","1"
"1964","Room service","46"
"1965","Valet parking u2014 75day","2"
"1966","Concierge","77"
"1967","Laundry services","59"
"1968","Bed sheets and pillows","69"
"1969","Fitness center","28"
"1970","Cote Bastide Argan toiletries","1"
"1971","Minibar","36"
"1972","Airport shuttle","25"
"1973","Bottled water","41"
"1974","Onsite restaurant u2014 Azul on the Rooftop","1"
"1975","Toiletries","55"
"1976","24hour fitness center","8"
"1977","Shared indoor heated lap pool","3"
"1978","Modjadji shampoo","3"
"1979","SIEMENS oven","1"
"1980","Modjadji body soap","3"
"1981","SIEMENS refrigerator","1"
"1982","Modjadji conditioner","3"
"1983","SIEMENS induction stove","1"
"1984","IKEA Bluetooth sound system","1"
"1985","Fridgedare oven","1"
"1986","Stainless Steel Fridgedare refrigerator","1"
"1987","Fridgedare 30 inches stainless steel gas stove","1"
"1988","Clothing storage wardrobe dresser walkin closet and closet","1"
"1989","Adidas body soap","1"
"1990","Esty stainless steel oven","1"
"1991","Esty stainless steel gas stove","1"
"1992","Vestel stainless steel gas stove","1"
"1993","Vestel stainless steel oven","1"
"1994","Altus stainless steel electric stove","1"
"1995","Altus stainless steel oven","1"
"1996","Clothing storage walkin closet wardrobe and dresser","1"
"1997","VO5 conditioner","2"
"1998","GE PROFILE refrigerator","1"
"1999","Dove (original sent) body soap","1"
"2000","Vo 5 shampoo","1"
"2001","Herman Cardon Bluetooth sound system","1"
"2002","Dedicated workspace monitor table and office chair","1"
"2003","Phebo liquido body soap","1"
"2004","Shared indoor infinity pool","1"
"2005","Bosch stove","1"
"2006","HDTV with Chromecast Netflix premium cable","1"
"2007","UE Boom Bluetooth sound system","1"
"2008","Bose Soundtouch sound system","1"
"2009","Wifi u2013 46 Mbps","1"
"2010","HDTV with Amazon Prime Video Netflix Apple TV","1"
"2011","sharp refrigerator","1"
"2012","the best body soap","1"
"2013","sharp stainless steel stove","1"
"2014","sharp stainless steel oven","1"
"2015","the best conditioner","1"
"2016","Free driveway parking on premises u2013 8 spaces","1"
"2017","Fridge  Freezer refrigerator","2"
"2018","THESS body soap","1"
"2019","liquido  body soap","1"
"2020","Selfparking u2014 45day","1"
"2021","Hot breakfast available u2014 20 per person per day","1"
"2022","Onsite bar u2014 Molyvos Restaurant  Bar","1"
"2023","Housekeeping","19"
"2024","Onsite restaurant u2014 Molyvos Greek Restaurant","1"
"2025"," linens","30"
"2026","Limited housekeeping u2014 on request","6"
"2027","Onsite bar u2014 Cafe","1"
"2028","Wifi available for a fee","2"
"2029","Onsite restaurant u2014 Garden","1"
"2030","Complimentary self parking","19"
"2031","Bluetooth speaker","7"
"2032"," toiletries","28"
"2033","Bathrobes","14"
"2034","Continental breakfast available u2014 10 per person per day","2"
"2035","Onsite restaurant u2014 CanteenMopen 247","2"
"2036","Onsite rooftop bar u2014 cloudM Rooftop bar","1"
"2037","Breakfast buffet available u2014 u20ac14 per person per day","15"
"2038","Selfparking u2014 u20ac23stay","1"
"2039","Breakfast buffet available u2014 u20ac20 per person per day","1"
"2040","Onsite bar","22"
"2041","Le Labo toiletries","1"
"2042","Limited housekeeping u2014 weekly","5"
"2043","Turndown service","17"
"2044","Continental breakfast available u2014 u20ac16 per person per day","1"
"2045","Limited housekeeping u2014 ","4"
"2046","Breakfast buffet available u2014 u20ac16 per person per day","4"
"2047","Onsite bar u2014 Bar ","1"
"2048","NuxeCaudalie toiletries","1"
"2049","Continental breakfast available u2014 250 per person per day","1"
"2050","Onsite restaurant u2014 Condimento","1"
"2051","Onsite restaurant u2014 Granada Restaurant","1"
"2052","Sonos JBL NAD sound system with Bluetooth and aux","1"
"2053","Samsung stainless steel oven","5"
"2054","large toaster oven oven","1"
"2055","bose speaker Bluetooth sound system","1"
"2056","ivory body soap","1"
"2057","Natura toiletries","1"
"2058","Selfparking u2014 50day","1"
"2059","Selfparking u2014 35day","2"
"2060","Onsite restaurant u2014 Crown Shy","1"
"2061","Frette linens","2"
"2062","MalinGoetz toiletries","1"
"2063","Onsite bar u2014 Crown Shy","1"
"2064","Slippers","17"
"2065","MOR toiletries","1"
"2066","Valet parking u2014 65day","2"
"2067","Selfparking u2014 38stay","1"
"2068","Continental breakfast available u2014 13 per person per day","1"
"2069","Onsite restaurant u2014 Mykonos Bleu Restaurant  Rooftop","1"
"2070","Onsite rooftop bar u2014 Mykonos Bleu Restaurant  Rooftop","1"
"2071","Onsite rooftop bar u2014 cloudM","1"
"2072","Trader Joes conditioner","1"
"2073","Trader Joes Body Wash body soap","1"
"2074","Trader Joes shampoo","1"
"2075","Gaggenau refrigerator","1"
"2076","Viking stainless steel oven","1"
"2077","LG smart Tech refrigerator","1"
"2078","PHEBO body soap","1"
"2079","Kenwood stainless steel oven","1"
"2080","Day bed","2"
"2081","Miele  stainless steel oven","1"
"2082","JBL sound system with Bluetooth and aux","3"
"2083","Westinghouse stainless steel oven","3"
"2084","Fisher and Paykal refrigerator","1"
"2085","ATLAS gas stove","1"
"2086","Wifi u2013 18 Mbps","1"
"2087","Super Flama gas stove","1"
"2088","Venix  retru00f4 2 bocas chamas altas com forninho gas stove","1"
"2089","consul frosfree refrigerator","1"
"2090","Conference room","1"
"2091","Efes refrigerator","2"
"2092","MUHTELu0130F MARKA conditioner","1"
"2093","BOSCH gas stove","1"
"2094","Westinghouse french door refrigerator","1"
"2095","Paid parking on premises u2013 3 spaces","1"
"2096","AEG refrigerator","2"
"2097","AEG stainless steel electric stove","1"
"2098","sabonete liquido body soap","1"
"2099","Free parking garage on premises u2013 4 spaces","3"
"2100","cheap shampoo","1"
"2101","UeBoom Bluetooth sound system","1"
"2102","Harmon Kardon Bluetooth sound system","2"
"2103","cheap one body soap","6"
"2104","cheap one shampoo","3"
"2105","Eco shampoo","1"
"2106","SONY Amplificator and Jamo Speakers sound system with aux","1"
"2107","O forno funciona apenas em temperatura alta oven","1"
"2108","Head  Shoulder 2 in 1 shampoo","1"
"2109","Gaggione refrigerator","1"
"2110","gaggione oven","1"
"2111","sony sound system with Bluetooth and aux","1"
"2112","Game console PS5 and Xbox 360","1"
"2113","Portu00e1til 2 bocas electric stove","1"
"2114","Aspar Botanical Hair Conditioner  conditioner","1"
"2115","Aspar Botanical Hair Shampoo shampoo","1"
"2116","Aspar Botanical Body Cleanser  body soap","1"
"2117","Elektrolu00fcx ve Beko stainless steel oven","1"
"2118","Profilo bu00fcyu00fck boy dolap refrigerator","1"
"2119","Onsite bar u2014 cloudM","1"
"2120","Continental breakfast available u2014 u20ac13 per person per day","1"
"2121","Onsite restaurant u2014 canteenMopen 247","1"
"2122","rossier stainless steel oven","1"
"2123","Outdoor parking","2"
"2124","Outdoor kitchen","2"
"2125","Pond","1"
"2126","Fountain","1"
"2127","Wine cave","1"
"2128","BOSH stainless steel gas stove","1"
"2129","BOSH stainless steel oven","1"
"2130","BOSH refrigerator","1"
"2131","Eurogas electric oven and 5 plate gas top stove","1"
"2132","Fridge Freezer refrigerator","2"
"2133","Mellerware induction stove","1"
"2134","Apple music Bluetooth sound system","1"
"2135","Organics body soap","1"
"2136","Bar Fridge  refrigerator","1"
"2137","Tiny Bar Fridge refrigerator","1"
"2138","MISS LYNN conditioner","1"
"2139","Karaoke machine","1"
"2140","Sonsos sound system through out the house and also Bluetooth sound system with Bluetooth and aux","1"
"2141","Heat lamps","2"
"2142","Putting green","1"
"2143","Smart home technology","1"
"2144","Poker table","1"
"2145","Heated floor","1"
"2146","Charlotte Rhys  body soap","2"
"2147","Gas stove smeg oven","1"
"2148","Whirlpool stainless steel electric stove","1"
"2149","Free parking garage on premises u2013 3 spaces","2"
"2150","samsung sound bar Bluetooth sound system","1"
"2151","Samsung 300l refrigerator","1"
"2152","143","1"
"2153","Intermarket  Dove  body soap","1"
"2154","Siemens  stainless steel oven","1"
"2155","Siemens  refrigerator","1"
"2156","Apple  Bose  Bluetooth sound system","1"
"2157","Intermarket  shampoo","1"
"2158","Siemens  induction stove","1"
"2159","JBL Portable Bluetooth Speaker Bluetooth sound system","1"
"2160","Private outdoor infinity pool","1"
"2161","Heated pool","2"
"2162","Pool house","1"
"2163","Propane barbeque","1"
"2164","Telescope","3"
"2165","sonus speakers Bluetooth sound system","1"
"2166","Brand may vary  high quality shampoo","1"
"2167","Brand may vary  high quality body soap","1"
"2168","Brand may vary  high quality conditioner","1"
"2169","iPad","1"
"2170","Tennis court","1"
"2171","Beach","2"
"2172","Air hockey table","1"
"2173","Dining area for 11 people","1"
"2174","Pool safety fence","5"
"2175","Stand up paddle board","1"
"2176","Hammock","1"
"2177","Gazebo","1"
"2178","Onsite restaurant u2014 Clinton Hall  Rooftop Beer Garden","1"
"2179","Selfparking u2014 19day","1"
"2180","Onsite bar u2014 Clinton Hall  Rooftop Beer Garden","1"
"2181","Valet parking u2014 45day","1"
"2182","Bio Beauty toiletries","1"
"2183","Complimentary hot breakfast","2"
"2184","TV with Netflix Amazon Prime Video premium cable","1"
